Linux,5.10.0-5-cloud-amd64,(lke25332-32960-608682818f2e),05/06/21,_x86_64_,(1,CPU)
00:00:02,CPU,%user,%nice,%system,%iowait,%steal
00:05:01,all,6.36,0.00,3.07,0.01,0.45
00:15:01,all,6.31,0.00,3.05,0.01,0.20
00:25:01,all,6.42,0.00,3.08,0.01,0.34
00:35:01,all,6.26,0.00,2.98,0.01,0.16
00:45:01,all,6.16,0.00,2.88,0.01,0.16
00:55:01,all,6.03,0.00,2.96,0.01,0.12
01:05:01,all,6.30,0.00,2.93,0.01,0.18
01:15:01,all,6.35,0.00,3.01,0.00,0.19
01:25:01,all,6.26,0.00,3.01,0.01,0.25
23:55:01,all,6.22,0.00,3.16,0.01,0.22
23:59:01,all,6.02,0.00,2.94,0.00,0.24
00:00:01,all,5.96,0.00,3.32,0.02,0.30
Average:,all,6.30,0.00,3.08,0.01,0.40
